YEAR,DYAD,XIJL,GNPIL,POPIL,POPJL,ALLIAL,DEMDL,DISTANCL,MIDL,CGNPJL,TAUL,STIN,BIALL,MULTIALL
1907,1,5.689129829,9.773479462,3.695606947,4.143292904,0,0,6.306274891,0,10.08710957,0.420792192,2007,0,0
1908,1,5.672926903,9.772117615,3.698086977,4.156692982,0,0,6.306274891,0,10.11042976,0.422354013,2008,0,0
1909,1,5.830953121,9.839673042,3.699572086,4.170070171,0,0,6.306274891,0,10.14536953,0.423835188,2009,0,0
1910,1,5.891768932,9.818685532,3.702289104,4.183117867,0,0,6.306274891,0,10.13743019,0.423835188,2010,0,0
1911,1,5.878455162,9.913754463,3.69461298,4.195095062,0,0,6.306274891,0,10.18642998,0.423835188,2011,0,0
1912,1,5.877773762,9.970170975,3.705491066,4.206929207,0,0,6.306274891,0,10.2198,0.422354013,2012,0,0
1913,1,5.905951023,9.949394226,3.707947016,4.219213009,0,0,6.306274891,0,10.21259975,0.422354013,2013,0,0
1920,1,4.868830204,9.621290207,3.688879013,,0,0.693147182,6.306274891,0.693147182,,0.304198414,2020,0,0
1921,1,5.215109825,9.475878716,3.694861889,,0,0.693147182,6.306274891,0,,0.300301999,2021,0,0
1922,1,5.423250198,9.788370132,3.699325085,4.141545773,0,0.693147182,6.306274891,0,,0.300676912,2022,0,0
1923,1,4.511836052,9.665275574,3.710640907,4.148043156,0,0.693147182,6.306274891,0,,0.300676912,2023,0,0
1924,1,5.651185989,9.651626587,3.721105099,4.154183865,0,0.693147182,6.306274891,0,,0.297254205,2024,0,0
1925,1,5.499729156,9.663784981,3.728100061,4.14962101,0,0.693147182,6.306274891,0,9.969902039,0.297675788,2025,0,0
1926,1,5.242063046,9.537965775,3.734570026,4.168679237,0,0.693147182,6.306274891,0,9.933625221,0.283533812,2026,0,0
1927,1,5.862555981,9.685836792,3.73623991,4.174695015,0,0.693147182,6.306274891,0,10.15692043,0.280269712,2027,0,0
1928,1,5.708366871,9.778189659,3.738858938,4.1803689,0,0.693147182,6.306274891,0,10.21440983,0.280269712,2028,0,0
1929,1,5.538874149,9.824456215,3.743130922,4.185708046,0,0.693147182,6.306274891,0,10.15896988,0.280269712,2029,0,0
1930,1,5.957124233,10.34107971,3.752089024,4.190865993,0,0.693147182,6.306274891,0,10.60990047,0.2765643,2030,0,0
1931,1,5.638793945,10.32318974,3.7579391,4.195998192,0,0.693147182,6.306274891,0,10.4896698,0.2765643,2031,0,0
1932,1,5.266108036,10.31470013,3.7579391,4.20050478,0,0.693147182,6.306274891,0,10.4603796,0.464897096,2032,0,0
1933,1,5.329029083,10.30121994,3.758639097,4.19298315,0.693147182,0,6.306274891,0,10.62514973,0.681208789,2033,0,0.693147182
1934,1,5.441845894,10.18739033,3.760036945,4.210793018,0.693147182,0,6.306274891,0,10.70981979,0.721141279,2034,0,0.693147182
1935,1,4.783915997,10.04539967,3.75980401,4.217594147,0.693147182,0,6.306274891,0,10.8108902,0.721141279,2035,0,0.693147182
1936,1,4.228120804,10.12355042,3.759104967,4.227272034,0.693147182,0,6.306274891,0.693147182,10.89025021,0.690948009,2036,0,0.693147182
1937,1,4.631089211,10.02120018,3.759571075,4.231639862,0,0,6.306274891,0,10.95860004,0.508475721,2037,0,0
1938,1,4.486814976,9.885046005,3.760268927,4.242189884,0.693147182,0,6.306274891,0.693147182,11.08617973,0.650299072,2038,0,0.693147182
1939,1,3.815545082,,3.758872032,4.252913952,0.693147182,0,6.306274891,0.693147182,,0.553680122,2039,0,0.693147182
