crisis,crisname,year,chall,def,chalwin3,chalwin4,relcapbl,rlstake3,relres4,chalnuke,defnukes,allycpbl,chaldemc,defdemoc,demcapbl,joinreg,audresq4,audadvsq,allies,chalmajr,defmajor,chaliss,defiss,chalcpbl,defcapbl,chpowicb,dfpowicb,nwsevvio,nwcenvio,chalmgt,defmgt,deftrigr,dfmajres
1,"Russia",1918,2,365,1,1,.8847989,-1,0,0,0,0,21,10,185.8078,210,0,121,0,1,0,1,4,.287434,.037424,3,3,3,4,8,8,8,8
3,"Russia",1918,20,365,1,1,.2241319,-1,0,0,0,0,21,10,47.06769,210,0,121,0,0,0,1,4,.010811,.037424,1,3,3,4,8,8,8,8
2,"COSTA",1918,94,93,1,1,.4330709,-1,0,0,0,0,21,8,72.75591,168,0,169,0,0,0,1,4,.00011,.000144,1,1,1,1,4,4,3,6
3,"RUSSIA",1918,200,365,1,1,.7968395,-1,0,0,0,.7968395,19,10,151.3995,190,0,81,1,1,0,1,4,.146785,.037424,3,3,3,4,8,8,8,8
1,"RUSSIA",1918,220,365,1,1,.7099994,-1,0,0,0,.7099994,19,10,134.8999,190,0,81,1,1,0,1,4,.091624,.037424,3,3,3,4,8,8,8,8
1,"Russia",1918,740,365,1,1,.4459315,-1,0,0,0,.4459315,12,10,53.51178,120,0,4,1,1,0,1,3,.03012,.037424,3,3,3,4,8,8,8,8
2,"COSTA",1919,93,94,3,4,.6099291,1,0,0,0,0,8,21,102.4681,168,0,169,0,0,0,4,1,.000172,.00011,1,1,2,2,4,4,3,3
6,"HUNGAR",1919,220,310,3,4,.9474802,-2,2,0,0,0,19,4,72.0085,76,450,225,0,1,0,2,6,.063358,.003512,3,1,2,2,7,1,1,8
5,"TESCHE",1919,315,290,2,3,.3612567,0,0,0,0,0,18,19,123.5498,342,0,1,0,0,0,3,3,.010958,.019375,1,2,3,3,8,8,8,8
6,"Hungar",1919,315,310,1,1,.757291,-1,0,0,0,0,18,4,54.52495,72,0,196,0,0,0,3,6,.010958,.003512,1,1,4,4,8,8,8,8
7,"SMYRNA",1919,350,325,2,3,.0593589,1,0,0,0,0,12,10,7.123065,120,0,4,0,0,1,3,2,.002922,.046304,2,3,2,3,7,7,8,6
6,"HUNGAR",1919,360,310,3,4,.6725408,-1,0,0,0,0,7,4,18.83114,28,0,9,0,0,0,3,6,.007213,.003512,1,1,4,4,8,8,8,8
10,"BESSAR",1919,365,360,1,1,.8941553,0,0,0,0,0,10,7,62.59087,70,0,9,0,0,0,3,3,.060934,.007213,3,1,3,3,7,7,8,9
9,"FINNIS",1919,375,365,2,3,.0226948,0,0,0,0,0,19,10,4.312017,190,0,81,0,0,0,3,3,.001415,.060934,1,3,3,3,7,7,8,8
8,"THIRD",1919,700,200,2,3,.0216326,1,0,0,0,0,5,19,2.055098,95,0,196,0,0,1,4,2,.00249,.112614,1,3,4,3,7,7,8,8
13,"POLISH",1920,290,365,2,3,.2098051,1,0,0,0,0,19,10,39.86296,190,0,81,0,0,0,6,3,.027098,.10206,2,3,4,4,8,8,8,8
17,"VILNA",1920,290,368,2,3,.9579666,0,0,0,0,0,19,15,273.0205,285,0,16,0,0,0,3,3,.027098,.001189,2,1,4,3,7,7,8,8
