who,id,age,gender,q3_1,q3_2,q3_3,q3_4,q4_1,q4_2,q4_3,q4_4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,exp,q6
1,10001,24,1,50,60,60,25,2,1,2,2,3,4,1,3,10,3,2,50
1,10002,22,2,0,0,0,0,1,1,2,2,4,5,1,1,7,4,2,0
1,10003,21,2,50,60,60,60,2,1,1,2,,,,,,,2,50
1,10004,22,2,70,80,65,70,2,1,1,2,6,10,3,10,3,2,2,60
1,10005,22,1,20,70,30,10,2,1,1,2,7,9,4,9,5,6,0,90
1,10006,21,2,0,80,10,10,2,1,1,2,3,4,6,9,9,7,1,81
1,10007,20,2,32,78,17,1,2,1,2,2,5,2,7,10,4,5,1,73
1,10008,20,2,50,70,80,20,2,2,1,1,8,9,5,8,3,5,0,60
1,10009,20,2,40,50,30,30,,1,1,,9,10,1,9,4,2,0,80
1,10010,20,2,20,30,20,10,2,1,1,2,,,,,,,1,50
1,10011,20,2,20,30,40,10,2,1,1,2,8,10,1,10,5,4,0,60
1,10012,22,1,0,0,0,0,2,1,2,2,7,9,5,6,7,5,2,0
1,10013,24,2,10,12,30,21,2,2,2,2,3,2,2,2,6,3,0,12
1,10014,20,1,50,60,50,50,2,2,2,2,6,2,10,10,1,8,0,50
1,10015,20,2,0,100,10,0,2,1,2,2,7,6,7,8,6,3,1,100
1,10016,22,1,25,50,40,40,2,1,2,2,10,8,2,10,1,3,2,65
1,10017,20,1,20,40,30,30,2,1,1,2,7,4,4,3,6,8,1,50
1,10018,22,1,40,20,40,40,2,1,1,1,1,1,1,1,10,1,2,20
1,10019,22,2,0,0,100,0,2,1,2,2,,,,,,,1,100
1,10020,20,2,40,80,70,10,2,1,2,2,5,9,3,10,5,6,2,70
1,10021,21,2,0,0,0,0,1,1,1,2,1,10,3,10,10,6,0,100
1,10022,22,2,0,0,0,0,2,1,1,2,1,10,1,10,10,6,0,0
1,10023,20,2,30,40,50,30,2,1,1,2,5,10,5,10,7,2,1,50
1,10024,21,2,25,50,50,25,1,1,2,1,4,6,7,10,3,4,1,50
2,20101,19,2,20,0,0,0,2,1,2,2,9,6,1,10,8,1,2,0
2,20102,18,2,30,40,45,50,1,1,2,2,9,5,2,,8,7,2,10
2,20103,18,2,0,50,50,0,2,1,2,1,7,5,1,10,3,1,1,65
2,20104,19,2,36,78,23,44,2,1,2,1,4,4,1,10,10,6,2,47
2,20105,18,2,1,81,71,21,1,1,2,1,6,9,5,10,5,9,2,88
2,20106,18,1,42,70,50,60,2,1,1,2,4,10,5,6,7,7,1,50
2,20107,17,2,50,70,40,50,2,1,1,2,8,6,7,10,8,2,0,20
2,20108,19,1,10,0,0,0,2,1,1,2,10,9,7,8,3,5,2,70
2,20109,20,1,50,70,60,0,2,1,2,2,10,10,5,10,3,7,0,60
2,20110,18,2,35,40,40,30,2,1,1,2,3,4,3,10,5,4,0,45
2,20111,18,2,50,60,40,20,2,1,1,2,4,7,1,6,3,4,1,40
2,20112,18,1,52,71,60,6,2,1,2,2,7,9,4,10,4,1,0,95
2,20113,18,1,25,70,50,50,2,1,1,2,10,9,6,10,2,7,2,73
2,20114,18,2,40,90,85,50,2,1,1,2,10,10,2,10,4,7,1,80
2,20115,18,1,40,20,25,10,2,1,1,2,6,8,5,9,5,7,2,75
2,20116,18,1,79,31,47,23,2,1,2,2,4,6,3,10,1,7,1,72
2,20117,19,2,25,40,30,21,2,2,1,2,6,7,5,10,1,4,1,51
2,20118,18,1,32,70,90,95,2,1,1,2,10,3,1,10,6,4,0,50
2,20119,18,2,50,70,50,20,2,1,1,2,10,10,10,10,2,1,2,100
2,20120,19,2,50,100,10,20,2,1,1,2,8,5,4,10,1,6,0,
2,20121,18,2,70,80,50,50,2,1,1,1,7,6,5,6,5,1,0,50
2,20122,18,2,20,80,30,0,2,1,2,2,1,6,1,10,5,3,2,40
2,20123,18,2,0,0,0,0,2,1,2,2,10,6,1,4,9,5,1,50
2,20124,19,1,41,0,71,13,2,1,1,2,7,6,5,10,8,5,2,17
2,20125,19,1,40,30,69,50,2,1,2,2,7,10,4,9,4,3,1,60
2,20126,18,2,40,90,70,20,2,1,1,2,10,10,1,10,5,4,1,75
2,20127,18,2,20,70,50,20,2,1,2,2,8,5,4,10,5,7,0,80
2,20128,18,2,10,50,10,3,2,1,1,2,1,10,2,10,5,2,2,30
2,20129,19,2,30,50,15,5,2,1,1,2,5,6,5,10,4,8,0,40
2,20130,18,2,40,80,75,30,2,1,1,2,10,10,5,10,1,1,1,70
2,20131,18,2,52,90,95,39,2,1,1,2,9,8,3,9,1,3,2,88
2,20132,18,2,50,30,50,20,2,1,1,2,8,6,4,10,3,4,0,50
2,20133,18,2,30,90,80,0,2,1,1,2,10,6,2,10,3,5,1,80
2,20134,18,2,30,0,0,0,2,1,1,2,5,5,1,10,5,4,1,20
2,20135,19,2,49,95,99,70,2,1,1,2,4,6,1,10,8,5,1,85
2,20136,19,2,70,80,50,10,2,1,1,2,10,6,1,10,5,4,0,100
2,20137,19,2,0,5,4,50,2,1,1,2,5,6,1,10,1,2,0,45
2,20138,19,2,43,80,50,20,2,1,1,2,10,9,5,9,3,3,2,70
2,20139,18,1,8,63,11,2,2,1,1,2,6,9,3,10,4,1,0,74
2,20140,19,2,70,40,42,10,2,1,1,2,10,6,4,10,3,4,1,40
2,20141,18,1,40,80,80,50,2,1,1,2,8,9,2,10,3,6,1,69
2,20142,19,2,30,60,70,70,2,1,1,2,8,9,2,10,10,4,0,67
2,20143,19,1,48,56,73,88,2,1,1,2,3,6,2,10,3,1,2,41
2,20144,19,2,15,65,35,0,1,1,1,2,3,6,5,10,2,1,0,50
2,20201,18,2,0,0,0,0,2,1,1,2,10,8,1,10,1,1,0,50
2,20202,19,,50,70,30,25,2,1,1,2,5,4,3,10,3,5,0,63
2,20203,19,2,0,73,32,2,2,1,2,1,10,7,1,7,9,5,2,21
2,20204,18,2,30,90,50,90,1,1,1,2,10,10,1,10,2,2,1,40
2,20205,18,2,0,70,0,0,2,1,1,2,1,10,1,10,1,1,1,
2,20206,18,2,75,45,60,80,2,1,1,2,7,7,4,10,3,5,0,25
2,20207,18,2,0,50,0,0,1,1,1,1,6,6,1,10,10,4,2,50
2,20208,19,2,60,90,50,40,2,1,1,2,10,9,9,10,1,3,1,82
2,20209,19,2,5,80,30,1,2,1,2,2,10,10,5,10,5,1,1,100
2,20210,19,2,2,70,27,0,2,1,2,2,10,10,5,10,5,6,0,80
2,20211,18,2,50,80,20,20,2,1,2,2,10,8,10,10,2,2,2,50
2,20212,18,2,50,100,0,0,2,1,1,2,10,6,1,10,1,7,1,60
2,20213,18,2,15,50,50,50,1,1,2,2,6,8,2,10,10,3,2,79
2,20214,19,1,100,70,60,1,2,1,2,2,4,1,5,10,1,1,0,70
2,20215,18,2,30,50,60,10,2,2,2,1,2,8,1,9,2,5,0,50
2,20216,18,2,27,80,71,0,2,1,1,2,5,7,4,10,1,5,1,75
2,20217,19,2,50,60,40,10,2,1,1,2,,10,5,10,6,5,2,40
2,20218,18,1,41,80,63,13,2,1,1,2,6,3,3,10,2,3,1,80
2,20219,19,2,40,60,10,0,2,1,2,1,9,6,1,10,2,3,0,45
2,20220,17,2,35,80,83,0,2,1,1,2,8,9,1,10,2,6,2,65
2,20301,21,2,50,80,20,,2,1,2,1,8,7,3,10,9,8,0,80
2,20302,21,2,40,98,20,15,1,1,1,2,9,7,3,10,2,4,2,51
2,20303,24,2,0,100,0,0,2,2,1,2,10,8,1,10,3,8,0,100
2,20304,19,1,50,50,50,50,2,1,1,2,10,7,1,9,3,3,1,20
2,20305,20,2,33,100,70,3,2,1,1,2,5,4,1,10,10,7,1,83
2,20306,19,1,59,86,11,36,2,1,1,2,2,10,10,10,2,10,0,0
2,20307,20,1,50,40,90,50,2,1,2,1,10,10,1,10,1,7,2,0
2,20308,21,2,100,100,100,100,2,1,2,2,10,6,10,10,5,7,1,100
2,20309,19,2,0,0,0,0,2,1,1,2,5,1,5,10,1,1,1,77
2,20310,22,2,0,51,10,0,2,1,1,2,10,7,1,6,2,1,0,15
2,20311,20,1,30,20,25,0,2,1,1,2,5,5,2,10,4,3,0,80
2,20312,19,1,5,40,25,10,2,1,2,1,5,9,7,10,3,3,2,50
2,20313,18,1,5,12,20,12,2,1,2,2,8,2,1,10,2,6,1,2
2,20314,21,1,70,100,30,0,2,1,1,2,8,9,5,10,1,3,2,100
2,20315,20,2,45,25,70,20,2,1,2,2,4,8,7,10,4,7,1,40
2,20316,19,1,100,100,0,0,2,1,1,1,10,10,1,10,1,10,1,100
2,20317,18,2,10,90,50,10,2,1,2,1,5,8,5,10,3,6,1,90
2,20318,21,1,60,50,80,70,2,1,1,2,6,7,5,9,8,2,1,50
2,20319,19,1,25,80,50,49,2,1,2,2,8,1,1,6,7,5,2,50
2,20320,21,1,20,20,30,0,2,1,2,1,8,10,5,8,6,3,0,60
2,20321,21,1,30,50,20,1,1,1,1,2,7,8,1,10,10,10,1,90
2,20322,19,2,20,50,11,2,2,1,1,1,4,6,5,9,6,4,0,20
2,20323,20,2,30,0,20,20,2,1,1,2,3,6,2,9,4,4,1,10
2,20324,19,1,0,1,0,0,2,1,1,2,5,10,1,6,5,6,2,5
1,10025,21,2,40,100,0,0,2,1,1,2,3,10,5,10,2,7,0,100
1,10026,21,2,35,60,50,50,2,2,1,2,8,9,4,9,2,5,1,55
1,10027,21,2,0,100,100,0,2,1,1,2,10,10,5,10,5,3,2,100
1,10028,21,2,0,50,50,50,2,1,1,1,8,9,1,10,10,3,0,50
1,10029,20,2,20,100,0,100,2,1,1,1,7,10,1,10,7,7,2,100
1,10030,20,2,0,0,0,0,2,1,1,2,5,10,5,10,6,6,2,26
1,10031,20,2,45,65,70,60,2,1,1,2,8,7,2,10,9,9,1,70
1,10032,21,2,60,30,10,0,2,1,1,2,7,8,1,10,5,3,1,30
1,10033,21,2,20,40,60,40,2,1,1,2,3,9,3,10,1,3,2,60
