sex,age,exp,q28,q29,q30,q31,q32,q40_1,q40_2,q40_3,q40_4,q40_5,q16_part
2,18,3,1,1,1,0,4,0,0,1,1,1,5
1,41,4,1,1,1,1,6,0,0,1,1,1,1
1,21,3,1,1,1,0,5,0,0,1,1,0,5
2,35,4,1,1,1,0,6,1,1,1,1,1,5
2,57,2,1,0,1,0,6,1,0,1,1,1,5
2,79,3,1,1,1,0,5,0,0,1,1,0,5
2,68,4,1,0,0,0,6,0,0,1,1,1,5
2,70,1,1,1,1,0,5,0,0,1,1,0,5
2,74,2,1,1,0,0,5,0,0,0,0,0,5
2,34,4,1,1,1,0,6,0,0,1,1,1,5
1,69,1,1,0,0,0,3,0,0,1,1,1,5
2,64,2,0,1,0,0,6,0,1,1,1,1,1
1,48,3,1,1,0,0,5,0,0,1,1,0,5
2,78,4,0,0,0,0,5,0,0,0,0,0,5
2,82,1,1,1,0,0,5,0,0,0,0,0,5
2,50,2,1,1,0,0,5,0,0,1,1,0,3
2,76,3,1,0,0,0,3,1,0,0,1,0,5
1,32,4,0,1,1,1,6,0,1,1,1,1,5
2,52,1,1,1,0,0,5,0,0,1,1,1,5
2,32,2,1,1,1,1,6,0,0,1,1,1,5
2,25,3,1,1,0,0,6,0,0,1,1,0,5
2,74,2,1,1,0,0,6,0,0,1,1,0,5
1,76,3,1,1,1,1,6,0,0,1,1,1,5
2,68,4,0,1,1,0,6,0,0,1,1,1,5
1,37,1,1,1,0,0,3,0,0,1,1,1,5
1,18,4,1,1,0,0,3,0,0,1,1,1,1
1,74,1,1,1,0,0,5,0,0,0,1,0,5
2,54,1,1,0,0,0,4,0,0,1,1,0,1
2,37,2,0,1,0,0,4,0,0,0,1,1,5
2,32,2,1,1,0,0,5,0,0,1,1,1,1
2,21,3,1,1,0,0,4,0,1,1,1,1,5
1,58,4,1,1,1,1,5,0,1,1,1,0,5
2,57,4,1,1,0,0,4,0,0,1,1,1,5
1,33,3,0,0,0,0,6,0,0,1,1,1,1
2,27,1,0,1,0,0,6,0,0,1,1,1,5
2,47,4,1,1,1,1,6,0,0,1,1,1,1
2,34,2,0,1,1,0,6,0,0,1,1,1,5
2,26,3,1,1,1,0,6,0,0,1,1,1,5
2,19,2,0,1,0,0,4,0,0,1,1,1,5
1,26,3,1,1,1,0,6,0,1,1,1,1,5
2,65,3,0,1,0,0,6,0,1,1,1,1,1
2,54,1,1,1,1,0,6,0,0,1,1,1,5
2,23,4,1,1,1,0,6,0,1,1,1,1,5
2,35,2,1,1,0,0,6,0,1,1,1,1,5
2,35,2,1,1,0,0,4,0,1,1,1,1,5
1,62,4,1,1,0,0,6,0,1,1,1,1,1
1,85,2,1,1,1,1,6,0,0,1,1,0,1
2,48,2,1,1,0,0,5,0,0,1,1,1,5
2,55,1,0,1,0,0,5,0,0,1,1,0,1
2,26,4,1,1,0,0,6,0,1,1,1,1,5
2,76,3,1,0,0,0,4,0,0,1,1,1,3
1,25,4,1,1,1,0,6,0,1,1,1,1,5
1,42,4,1,1,1,0,4,0,1,1,1,0,5
1,20,1,1,1,0,0,4,0,1,1,1,1,5
2,75,2,1,1,1,0,4,0,0,1,1,0,5
2,75,3,0,1,1,0,4,0,0,1,1,0,5
2,35,4,1,1,0,0,6,0,1,1,1,1,1
2,23,1,1,1,0,0,4,0,0,0,1,1,5
2,24,1,1,1,0,0,6,0,0,0,1,1,5
1,34,2,0,1,1,0,6,0,1,1,1,1,5
1,68,1,1,1,1,0,6,0,0,1,1,1,1
2,69,3,0,0,0,0,5,0,0,0,1,0,5
1,25,1,1,1,1,0,4,0,0,1,1,1,5
2,56,2,1,1,0,1,6,0,0,0,1,1,5
2,52,3,1,0,0,0,4,0,0,1,1,0,5
1,27,2,1,1,1,0,4,0,1,1,1,1,5
2,31,4,0,0,0,0,5,0,1,1,1,1,5
2,38,4,0,1,1,0,6,0,0,1,1,1,5
1,40,3,1,1,0,0,4,0,1,1,1,1,5
2,68,1,1,1,0,0,3,0,0,0,1,0,5
1,21,4,1,1,0,0,4,0,0,1,1,1,5
1,55,4,1,1,0,0,4,0,0,1,1,1,1
2,68,2,1,1,0,0,6,0,0,1,1,1,5
1,22,2,1,1,0,0,4,0,0,1,1,1,1
2,79,3,1,0,0,0,4,0,0,0,0,0,3
2,32,1,0,1,0,0,4,0,0,1,1,1,5
2,77,3,1,0,0,0,4,0,0,0,1,0,5
1,21,4,0,1,1,0,4,0,0,1,1,1,5
2,25,3,1,1,1,1,6,0,1,1,1,1,5
2,63,1,0,1,1,0,5,0,0,0,1,0,2
1,74,2,1,1,1,0,2,0,0,0,1,0,3
2,56,2,1,1,1,0,6,1,0,1,1,1,5
2,56,4,1,1,0,1,6,0,0,1,1,1,5
2,46,1,1,1,0,0,6,0,0,1,1,1,5
1,56,1,1,1,1,1,5,0,0,0,1,0,1
1,55,2,1,1,1,1,6,0,1,1,1,1,4
2,56,3,1,1,0,1,6,0,1,1,1,1,5
1,53,4,1,1,1,0,4,0,0,0,1,0,5
2,43,1,1,1,0,0,5,0,1,1,1,1,5
