"state.name","state","Obama","McCain","EV","margin","predicted.margin.poll"
"Alabama","AL",39,60,9,-21,-25
"Alaska","AK",38,59,3,-21,-19
"Arizona","AZ",45,54,10,-9,-2.5
"Arkansas","AR",39,59,6,-20,-7
"California","CA",61,37,55,24,24
"Colorado","CO",54,45,9,9,7
"Connecticut","CT",61,38,7,23,25
"D.C.","DC",92,7,3,85,69
"Delaware","DE",62,37,3,25,30
"Florida","FL",51,48,27,3,2
"Georgia","GA",47,52,15,-5,-5
"Hawaii","HI",72,27,4,45,41
"Idaho","ID",36,62,4,-26,-29
"Illinois","IL",62,37,21,25,22
"Indiana","IN",50,49,11,1,-5
"Iowa","IA",54,44,7,10,17
"Kansas","KS",42,57,6,-15,-21
"Kentucky","KY",41,57,8,-16,-16
"Louisiana","LA",40,59,9,-19,-3
"Maine","ME",58,40,4,18,13
"Maryland","MD",62,36,10,26,23
"Massachusetts","MA",62,36,12,26,17
"Michigan","MI",57,41,17,16,16
"Minnesota","MN",54,44,10,10,3
"Mississippi","MS",43,56,6,-13,-13
"Missouri","MO",48,49,11,-1,1
"Montana","MT",47,50,3,-3,-3.66666666666667
"Nebraska","NE",42,57,5,-15,-19
"Nevada","NV",55,43,5,12,8
"New Hampshire","NH",54,45,4,9,4
"New Jersey","NJ",57,42,15,15,10
"New Mexico","NM",57,42,5,15,7
"New York","NY",63,36,31,27,29
"North Carolina","NC",50,49,15,1,-1
"North Dakota","ND",45,53,3,-8,-1
"Ohio","OH",51,47,20,4,6
"Oklahoma","OK",34,66,7,-32,-29
"Oregon","OR",57,40,7,17,12
"Pennsylvania","PA",55,44,21,11,6
"Rhode Island","RI",63,35,4,28,22
"South Carolina","SC",45,54,8,-9,-8
"South Dakota","SD",45,53,3,-8,-9
"Tennessee","TN",42,57,11,-15,-16
"Texas","TX",44,55,34,-11,-10
"Utah","UT",34,63,5,-29,-25
"Vermont","VT",67,30,3,37,21
"Virginia","VA",53,46,13,7,5
"Washington","WA",58,40,11,18,12
"West Virginia","WV",43,56,5,-13,-10
"Wisconsin","WI",56,42,10,14,16
"Wyoming","WY",33,65,3,-32,-25
